"lon" "lat" "lm"
"1" -179.5 89.5 0
"2" -178.5 89.5 0
"3" -177.5 89.5 0
"4" -176.5 89.5 0
"5" -175.5 89.5 0
"6" -174.5 89.5 0
"7" -173.5 89.5 0
"8" -172.5 89.5 0
"9" -171.5 89.5 0
"10" -170.5 89.5 0
"11" -169.5 89.5 0
"12" -168.5 89.5 0
"13" -167.5 89.5 0
"14" -166.5 89.5 0
"15" -165.5 89.5 0
"16" -164.5 89.5 0
"17" -163.5 89.5 0
"18" -162.5 89.5 0
"19" -161.5 89.5 0
"20" -160.5 89.5 0
"21" -159.5 89.5 0
"22" -158.5 89.5 0
"23" -157.5 89.5 0
"24" -156.5 89.5 0
"25" -155.5 89.5 0
"26" -154.5 89.5 0
"27" -153.5 89.5 0
"28" -152.5 89.5 0
"29" -151.5 89.5 0
"30" -150.5 89.5 0
"31" -149.5 89.5 0
"32" -148.5 89.5 0
"33" -147.5 89.5 0
"34" -146.5 89.5 0
"35" -145.5 89.5 0
"36" -144.5 89.5 0
"37" -143.5 89.5 0
"38" -142.5 89.5 0
"39" -141.5 89.5 0
"40" -140.5 89.5 0
"41" -139.5 89.5 0
"42" -138.5 89.5 0
"43" -137.5 89.5 0
"44" -136.5 89.5 0
"45" -135.5 89.5 0
"46" -134.5 89.5 0
"47" -133.5 89.5 0
"48" -132.5 89.5 0
"49" -131.5 89.5 0
"50" -130.5 89.5 0
"51" -129.5 89.5 0
"52" -128.5 89.5 0
"53" -127.5 89.5 0
"54" -126.5 89.5 0
"55" -125.5 89.5 0
"56" -124.5 89.5 0
"57" -123.5 89.5 0
"58" -122.5 89.5 0
"59" -121.5 89.5 0
"60" -120.5 89.5 0
"61" -119.5 89.5 0
"62" -118.5 89.5 0
"63" -117.5 89.5 0
"64" -116.5 89.5 0
"65" -115.5 89.5 0
"66" -114.5 89.5 0
"67" -113.5 89.5 0
"68" -112.5 89.5 0
"69" -111.5 89.5 0
"70" -110.5 89.5 0
"71" -109.5 89.5 0
"72" -108.5 89.5 0
"73" -107.5 89.5 0
"74" -106.5 89.5 0
"75" -105.5 89.5 0
"76" -104.5 89.5 0
"77" -103.5 89.5 0
"78" -102.5 89.5 0
"79" -101.5 89.5 0
"80" -100.5 89.5 0
"81" -99.5 89.5 0
"82" -98.5 89.5 0
"83" -97.5 89.5 0
"84" -96.5 89.5 0
"85" -95.5 89.5 0
"86" -94.5 89.5 0
"87" -93.5 89.5 0
"88" -92.5 89.5 0
"89" -91.5 89.5 0
"90" -90.5 89.5 0
"91" -89.5 89.5 0
"92" -88.5 89.5 0
"93" -87.5 89.5 0
"94" -86.5 89.5 0
"95" -85.5 89.5 0
"96" -84.5 89.5 0
"97" -83.5 89.5 0
"98" -82.5 89.5 0
"99" -81.5 89.5 0
"100" -80.5 89.5 0
"101" -79.5 89.5 0
"102" -78.5 89.5 0
"103" -77.5 89.5 0
"104" -76.5 89.5 0
"105" -75.5 89.5 0
"106" -74.5 89.5 0
"107" -73.5 89.5 0
"108" -72.5 89.5 0
"109" -71.5 89.5 0
"110" -70.5 89.5 0
"111" -69.5 89.5 0
"112" -68.5 89.5 0
"113" -67.5 89.5 0
"114" -66.5 89.5 0
"115" -65.5 89.5 0
"116" -64.5 89.5 0
"117" -63.5 89.5 0
"118" -62.5 89.5 0
"119" -61.5 89.5 0
"120" -60.5 89.5 0
"121" -59.5 89.5 0
"122" -58.5 89.5 0
"123" -57.5 89.5 0
"124" -56.5 89.5 0
"125" -55.5 89.5 0
"126" -54.5 89.5 0
"127" -53.5 89.5 0
"128" -52.5 89.5 0
"129" -51.5 89.5 0
"130" -50.5 89.5 0
"131" -49.5 89.5 0
"132" -48.5 89.5 0
"133" -47.5 89.5 0
"134" -46.5 89.5 0
"135" -45.5 89.5 0
"136" -44.5 89.5 0
"137" -43.5 89.5 0
"138" -42.5 89.5 0
"139" -41.5 89.5 0
"140" -40.5 89.5 0
"141" -39.5 89.5 0
"142" -38.5 89.5 0
"143" -37.5 89.5 0
"144" -36.5 89.5 0
"145" -35.5 89.5 0
"146" -34.5 89.5 0
"147" -33.5 89.5 0
"148" -32.5 89.5 0
"149" -31.5 89.5 0
"150" -30.5 89.5 0
"151" -29.5 89.5 0
"152" -28.5 89.5 0
"153" -27.5 89.5 0
"154" -26.5 89.5 0
"155" -25.5 89.5 0
"156" -24.5 89.5 0
"157" -23.5 89.5 0
"158" -22.5 89.5 0
"159" -21.5 89.5 0
"160" -20.5 89.5 0
"161" -19.5 89.5 0
"162" -18.5 89.5 0
"163" -17.5 89.5 0
"164" -16.5 89.5 0
"165" -15.5 89.5 0
"166" -14.5 89.5 0
"167" -13.5 89.5 0
"168" -12.5 89.5 0
"169" -11.5 89.5 0
"170" -10.5 89.5 0
