"lon" "lat" "Continent" "Type" "Name" "Acronym"
"1" -179.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"2" -178.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"3" -177.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"4" -176.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"5" -175.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"6" -174.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"7" -173.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"8" -172.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"9" -171.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"10" -170.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"11" -169.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"12" -168.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"13" -167.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"14" -166.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"15" -165.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"16" -164.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"17" -163.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"18" -162.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"19" -161.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"20" -160.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"21" -159.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"22" -158.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"23" -157.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"24" -156.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"25" -155.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"26" -154.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"27" -153.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"28" -152.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"29" -151.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"30" -150.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"31" -149.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"32" -148.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"33" -147.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"34" -146.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"35" -145.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"36" -144.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"37" -143.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"38" -142.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"39" -141.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"40" -140.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"41" -139.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"42" -138.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"43" -137.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"44" -136.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"45" -135.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"46" -134.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"47" -133.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"48" -132.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"49" -131.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"50" -130.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"51" -129.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"52" -128.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"53" -127.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"54" -126.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"55" -125.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"56" -124.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"57" -123.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"58" -122.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"59" -121.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"60" -120.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"61" -119.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"62" -118.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"63" -117.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"64" -116.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"65" -115.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"66" -114.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"67" -113.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"68" -112.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"69" -111.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"70" -110.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"71" -109.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"72" -108.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"73" -107.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"74" -106.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"75" -105.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"76" -104.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"77" -103.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"78" -102.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"79" -101.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"80" -100.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"81" -99.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"82" -98.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"83" -97.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"84" -96.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"85" -95.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"86" -94.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"87" -93.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"88" -92.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"89" -91.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"90" -90.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"91" -89.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"92" -88.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"93" -87.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"94" -86.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"95" -85.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"96" -84.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"97" -83.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"98" -82.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"99" -81.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"100" -80.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"101" -79.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"102" -78.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"103" -77.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"104" -76.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"105" -75.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"106" -74.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"107" -73.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"108" -72.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"109" -71.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"110" -70.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"111" -69.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"112" -68.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"113" -67.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"114" -66.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"115" -65.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"116" -64.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"117" -63.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"118" -62.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"119" -61.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"120" -60.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"121" -59.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"122" -58.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"123" -57.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"124" -56.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"125" -55.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"126" -54.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"127" -53.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"128" -52.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"129" -51.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"130" -50.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"131" -49.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"132" -48.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"133" -47.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"134" -46.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"135" -45.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"136" -44.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"137" -43.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"138" -42.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"139" -41.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"140" -40.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"141" -39.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"142" -38.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"143" -37.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"144" -36.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"145" -35.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"146" -34.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"147" -33.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"148" -32.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"149" -31.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"150" -30.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"151" -29.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"152" -28.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"153" -27.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"154" -26.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"155" -25.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"156" -24.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"157" -23.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"158" -22.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"159" -21.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"160" -20.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"161" -19.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"162" -18.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"163" -17.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"164" -16.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"165" -15.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"166" -14.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"167" -13.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"168" -12.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"169" -11.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"170" -10.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"171" -9.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"172" -8.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"173" -7.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"174" -6.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"175" -5.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"176" -4.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"177" -3.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"178" -2.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"179" -1.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"180" -0.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"181" 0.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"182" 1.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"183" 2.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"184" 3.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"185" 4.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"186" 5.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"187" 6.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"188" 7.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"189" 8.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"190" 9.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"191" 10.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
"192" 11.5 89.5 "ARCTIC" "Ocean" "Arctic-Ocean" "ARO"
